name,company,location,type,job category
Architect,Falcons International Trading & Marketing,"Smart Village, Giza, Egypt","Full Time, On-site",Architect | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  3D |  Architect |  AutoCAD |  Design |  Engineering |  Architecture |  Construction |  Revit
Senior Quality Control Engineer,ATRIC Developments,"Ain Sokhna, Suez, Egypt","Full Time, On-site",Senior Quality Control Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Quality |  Construction |  Quality Control |  Real Estate |  Engineering |  quality
Human Resources Generalist,Chema Foam,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Human Resources Generalist | Entry Level |  Administration |  Human Resources |  Administration |  HR |  Business Administration |  Human Resources (HR) |  business |  Labour Law |  Recruitment |  Employee Relations
TV Product Manager,Union Group,"Obour City, Cairo, Egypt","Full Time, On-site",TV Product Manager | Experienced |  Marketing/PR/Advertising |  Sales/Retail |  analytical |  business |  Information Technology (IT) |  Manager |  Marketing |  Microsoft Office |  Product |  Product Management
Accounting Supervisor,Sky Holding,"Maadi, Cairo, Egypt","Full Time, On-site",Accounting Supervisor | Experienced |  Accounting/Finance |  Accounting |  Accounting Supervisor |  Finance |  Financial Analysis |  Financial Management |  Supervisor |  ERP System |  Commerce |  Leasing
SDA Product Manager,Union Group,"Obour City, Cairo, Egypt","Full Time, On-site",SDA Product Manager | Experienced |  Marketing/PR/Advertising |  Sales/Retail |  analytical |  business |  Information Technology (IT) |  Manager |  Marketing |  Microsoft Office |  Product |  Product Management
AC Product Manager,Union Group,"Obour City, Cairo, Egypt","Full Time, On-site",AC Product Manager | Experienced |  Marketing/PR/Advertising |  Sales/Retail |  analytical |  business |  Information Technology (IT) |  Manager |  Marketing |  Microsoft Office |  Product |  Product Management
Business Development Executive.,Implant Depot INC,"New Cairo, Cairo, Egypt","Full Time, On-site",Business Development Executive. | Experienced |  Business Development |  Sales/Retail |  Customer Success |  sales skills |  Sales |  Business Development |  Sales Target
Senior Technical Office Wood Industry,OUVRiEX,"Maadi, Cairo, Egypt","Full Time, On-site",Senior Technical Office Wood Industry | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  AutoCAD |  Furniture |  Wood |  Technical Office |  Industry |  Engineering |  Applied Arts |  Microsoft Office
Executive Assistant,Meta Dimension Concepts,"Cairo, Egypt","Full Time, On-site",Executive Assistant | Experienced |  Administration |  Artificial Intelligence (AI) |  Administration |  Assistant |  Communication |  Communication skills |  English |  Executive |  Executive Assistant |  Management
MDA Product Manager,Union Group,"Obour City, Cairo, Egypt","Full Time, On-site",MDA Product Manager | Experienced |  Marketing/PR/Advertising |  Product Management |  Marketing |  Digital Marketing |  Digital Advertising |  Sales |  Sales Field |  product manager |  analytical |  business
Chief Technology Officer / Co-Founder,Confidential,"New Cairo, Cairo, Egypt","Full Time, Remote",Chief Technology Officer / Co-Founder | Senior Management |  IT/Software Development |  C-Level Executive/GM/Director |  Engineering - Telecom/Technology |  Integration |  genAI |  Computer Vision |  ML/DL |  llama |  gemini |  Software Development
Senior Marketing Specialist,Asaal Developments,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Senior Marketing Specialist | Experienced |  Marketing/PR/Advertising |  Marketing |  Digital Marketing |  Online Marketing |  Marketing Campaigns |  Branding |  Real Estate |  Business Administration |  E-Marketing |  Microsoft Office
Spare Parts Sales Representative,GB Corp,"Alexandria, Egypt","Full Time, On-site",Spare Parts Sales Representative | Experienced |  Customer Service/Support |  Sales/Retail |  Engineering - Mechanical/Electrical |  Sales |  parts |  English |  sales skills |  Sales Target |  Spare Parts
Senior Tax Accountant,Nile Sugar,"Agouza, Giza, Egypt","Full Time, On-site",Senior Tax Accountant | Experienced |  Accounting/Finance |  Tax Accounting |  accountant
IT Agent,Falcons International Trading & Marketing,"Smart Village, Giza, Egypt","Full Time, On-site",IT Agent | Experienced |  IT/Software Development |  IT |  Information Technology (IT)
Sales Section Head ( Heavy Trucks ),GB Corp,"Alexandria, Egypt","Full Time, On-site",Sales Section Head ( Heavy Trucks ) | Experienced |  Operations/Management |  Sales/Retail |  Engineering - Mechanical/Electrical |  Microsoft |  Engineering |  Management |  English |  Mechanical Engineering |  Sales |  Training
Sales Representative ( Heavy Trucks ),GB Corp,"Minya, Egypt","Full Time, On-site",Sales Representative ( Heavy Trucks ) | Experienced |  Customer Service/Support |  Sales/Retail |  Representative |  Administration |  Customer Service |  Experience |  MS Office |  Sales |  Sales Target |  sales skills
SMT PE Assistant Engineer ( Manufacturing ),OPPO Egypt,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",SMT PE Assistant Engineer ( Manufacturing ) | Entry Level |  Engineering - Telecom/Technology |  Engineering - Mechanical/Electrical |  Engineering - Other |  Mobile Phones |  Information Technology (IT) |  Smart Phones |  Microsoft Office |  English |  Manufacturing |  Quality Assurance
Sales Representative ( Light Trucks ),GB Corp,"Assiut, Egypt","Full Time, On-site",Sales Representative ( Light Trucks ) | Experienced |  Customer Service/Support |  Sales/Retail |  Representative |  business |  Administration |  English |  Industry |  Experience |  Customer Service |  Sales Target
Operation & maintenance personalization card machine (technician or engineer),Misr International Systems,"New Cairo, Cairo, Egypt","Full Time, On-site",Operation & maintenance personalization card machine (technician or engineer) | Experienced |  Installation/Maintenance/Repair |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Maintenance |  Mechanical Engineering
Accountant (AP),Ostool Transport,"6th of October, Giza, Egypt","Full Time, On-site",Accountant (AP) | Experienced |  Accounting/Finance |  Accounting |  AP |  CMA |  English |  Microsoft Office |  Microsoft Excel |  ERP System
Mechanical Design Engineer,MEPEC CONSULTANT,"Nasr City, Cairo, Egypt","Full Time, On-site",Mechanical Design Engineer | Experienced |  Engineering - Mechanical/Electrical |  Design |  AutoCAD |  Mechanical |  Mechanical Engineering |  Engineering |  3D |  2D
Accountant,YMZ,"Giza, Giza, Egypt","Full Time, On-site",Accountant | Experienced |  Accounting/Finance |  Accounting |  Accounting Software |  excel |  Financial Analysis |  Financial Management
HR Application Consultant Supervisor,A1Softech,"Giza, Giza, Egypt","Full Time, On-site",HR Application Consultant Supervisor | Senior Management |  Business Development |  Human Resources |  Applications |  business |  Human Resources (HR) |  Project Management |  Recruitment |  Payroll |  ERP Software |  ERP Solutions
Accounts Payable (AP) Accountant,Ghezaa Company,"New Cairo, Cairo, Egypt","Full Time, On-site",Accounts Payable (AP) Accountant | Experienced |  Accounting/Finance |  Accounting |  Microsoft Excel |  Microsoft daynamics 365 |  Accounts Payable |  Finance |  English |  AP
Treasury Accountant,Ghezaa Company,"New Cairo, Cairo, Egypt","Full Time, On-site",Treasury Accountant | Experienced |  Accounting/Finance |  Accounting |  Microsoft Excel |  Microsoft daynamics 365 |  Finance |  English |  Cash Flow |  Treasury |  excel |  Cash
Assistant Manager,CSI,"Heliopolis, Cairo, Egypt","Full Time, On-site",Assistant Manager | Entry Level |  Administration |  Customer Service/Support |  Operations/Management |  Administration |  Business Administration |  Communication skills |  french |  excel |  Skills |  Office management
General Ledger Accountant,BioEnergy,"Maadi, Cairo, Egypt","Full Time, On-site",General Ledger Accountant | Experienced |  Accounting/Finance |  Odoo |  Accounting |  General Ledger (GL) |  Business Analysis |  Accounts Payable |  Payable |  ERP |  Finance |  Financial Analysis
Accounts Payable Specialist,BioEnergy,"Maadi, Cairo, Egypt","Full Time, On-site",Accounts Payable Specialist | Experienced |  Accounting/Finance |  Accounts Payable |  Finance |  Payable |  Odoo |  Accounting |  CMA |  Communication |  Financial Analysis
Electrical Engineer,BioEnergy,"Maadi, Cairo, Egypt","Full Time, On-site",Electrical Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Electrical Engineering |  Power |  Automation |  Manufacturing |  AutoCAD |  Communication |  Electrical |  Engineering
Mechanical Engineer,BioEnergy,"Maadi, Cairo, Egypt","Full Time, On-site",Mechanical Engineer | Experienced |  Engineering - Mechanical/Electrical |  Electrical |  Maintenance |  Mechanical |  SolidWorks |  Management |  AutoCAD |  Mechanical Engineering |  Production |  Design
RDF Division Operation Manager,BioEnergy,"Maadi, Cairo, Egypt","Full Time, On-site",RDF Division Operation Manager | Manager |  Operations/Management |  RDF division |  Operations |  Operations Management |  Division Management |  alternative fuels
"QC Manager, Poultry Slaughterhouse",El Banna Group Company,"Ismailia, Ismailia, Egypt","Full Time, On-site","QC Manager, Poultry Slaughterhouse | Manager |  Quality |  Agricultural science |  quality"
Vie Scolaire Assistant - French Speaker,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Vie Scolaire Assistant - French Speaker | Entry Level |  Administration |  Education/Teaching |  Education |  Administration |  Event |  Secretary |  Positive Discipline |  Microsoft Excel |  Training |  Admin
Recruitment Assistant,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Recruitment Assistant | Experienced |  Human Resources |  Recruitment |  Human Resources (HR) |  Interviews |  Screening |  Administration |  Microsoft Office
Executive Assistant,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Executive Assistant | Experienced |  Administration |  Office Management |  Admin |  Administration |  Secretary |  Arabic |  computer |  English |  excel |  french
Marketing Manager,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Marketing Manager | Entry Level |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Education |  Administration |  Event |  Secretary |  Positive Discipline |  Microsoft Excel |  Training |  Admin
Social Medias Content Creator,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Social Medias Content Creator | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Graphic Design |  Adobe Indesign |  Design |  Adobe Photoshop |  Adobe illustrator |  Graphic |  Multimedia
University Counselor,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",University Counselor | Entry Level |  Administration |  Education/Teaching |  Training/Instructor |  College Counseling |  Administration |  Teaching |  Students |  English Teacher |  French Teacher |  Academic
Art Teacher - French speaker,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Art Teacher - French speaker | Experienced |  Education/Teaching |  Art |  Teaching |  Education |  Fine Arts
IB English Teacher For PYP-MYP-DP,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",IB English Teacher For PYP-MYP-DP | Experienced |  Education/Teaching |  Teaching |  Education |  IB |  Teaching Diploma |  MYP |  Teacher |  English
Sports Teacher - French Speaker,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Full Time, On-site",Sports Teacher - French Speaker | Experienced |  Education/Teaching |  Training/Instructor |  Sports |  Education |  Teaching |  Schools |  Training
HR Intern,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt","Internship, On-site",HR Intern | Student |  Human Resources |  Human Resources (HR) |  Labor Law |  Personnel |  Recruitment |  HR |  Human Resources |  human resources management |  Management |  Microsoft Office
Graphic Designer,Falcons International Trading & Marketing,"Smart Village, Giza, Egypt","Full Time, On-site",Graphic Designer | Experienced |  Creative/Design/Art |  Graphic Design |  Graphic |  Adobe illustrator |  Adobe Photoshop |  indesign
Sales Manager,Ishraaq Foundation,"Cairo, Egypt","Full Time, On-site",Sales Manager | Manager |  Sales/Retail |  Sales |  Manager |  Business Administration |  Communication |  Communication skills |  Customer Service |  CRM |  Microsoft Office |  Sales Management
Sales Engineer - Electromechanical,Power Solutions,"6th of October, Giza, Egypt","Full Time, On-site",Sales Engineer - Electromechanical | Experienced |  Sales/Retail |  Engineering - Mechanical/Electrical |  Sales |  Sales Skills |  Outdoor Sales |  Sales Target |  Engineering |  Electrical Engineering |  Mechanical Engineering |  Eelectro-Mechanical
